item,price,description
Breakfast Crunchwrap – Bacon,36.21,Uma opção saudável e equilibrada.
Breakfast Crunchwrap – Sausage,58.39,Uma opção saudável e satisfatória.
Breakfast Crunchwrap – Steak,46.25,Sabores tradicionais que nunca desapontam.
Breakfast Salsa Packet (V),58.61,Sabor autêntico que aquece o coração.
Cheesy Toasted Breakfast Burrito – Bacon,45.07,Uma combinação perfeita de sabores e texturas.
Cheesy Toasted Breakfast Burrito – Fiesta Potato (V),44.41,Uma combinação perfeita de sabores e texturas.
Cheesy Toasted Breakfast Burrito – Sausage,49.33,Sinta o sabor do verão a cada gole.
Cinnabon® Delights™ (2 Pack) (V),40.84,A escolha saudável para um dia agitado.
Cinnabon® Delights™ (12 Pack – Serves 4) (V),48.11,Uma mistura de doçura e crocância.
Grande Toasted Breakfast Burrito – Bacon,47.02,Uma experiência refrescante e doce.
Grande Toasted Breakfast Burrito – Sausage,56.86,Sinta o sabor da natureza em cada mordida.
Grande Toasted Breakfast Burrito – Steak,43.44,Uma combinação perfeita de sabores e texturas.
Hash Brown (V),42.42,Sabores tradicionais que nunca desapontam.
Hash Brown Toasted Breakfast Burrito – Bacon,54.0,O acompanhamento perfeito para qualquer refeição.
Hash Brown Toasted Breakfast Burrito – Sausage,37.63,"Leve e saboroso, perfeito a qualquer hora."
Hash Brown Toasted Breakfast Burrito – Steak,48.33,Uma opção deliciosa e reconfortante.
7-Up (16 fl oz),31.4,"Leve e delicioso, perfeito para compartilhar."
Brisk® Mango Iced Tea (16 fl oz),43.31,Sabor exótico que você vai adorar.
Brisk® Unsweetened No Lemon Iced Tea (16 fl oz),53.24,"Leve e delicioso, perfeito para compartilhar."
Diet Dr Pepper® (16 fl oz),42.36,Incrivelmente refrescante e saboroso.
Diet Mtn Dew® (16 fl oz),53.96,Sabores autênticos que aquecem o coração.
Diet Pepsi® (16 fl oz),39.57,Molhos deliciosos para realçar seus pratos.
Dr Pepper® (16 fl oz),46.43,Sabores tradicionais que nunca desapontam.
G2 – Fruit Punch (16 fl oz),52.67,"Leve e delicioso, perfeito para compartilhar."
Mtn Dew® (16 fl oz),52.29,A escolha perfeita para um dia especial.
Mtn Dew® Baja Blast™ (16 fl oz),35.23,Sabores autênticos que aquecem o coração.
Mtn Dew® Baja Blast Zero Sugar (16 fl oz),54.91,Uma deliciosa refeição para toda a família.
Mtn Dew® Kickstart™ Orange Citrus (16 fl oz),34.61,Uma experiência refrescante e doce.
Mug® Root Beer (16 fl oz),32.11,Sabor caseiro que aquece a alma.
Pepsi® (16 fl oz),57.71,Molhos deliciosos para realçar seus pratos.
Pepsi® Wild Cherry (16 fl oz),55.8,Uma bebida gelada e revigorante.
Pepsi® Zero Sugar (16 fl oz),51.26,Uma opção saudável e equilibrada.
Sierra Mist® (16 fl oz),40.22,Sinta o sabor da tradição em cada mordida.
Tropicana® Pink Lemonade (16 fl oz),50.39,Para os amantes de comida caseira.
7-Up (20 fl oz),38.13,Uma bebida gelada e revigorante.
Brisk® Mango Iced Tea (20 fl oz),44.89,Sabor caseiro que aquece a alma.
Brisk® Unsweetened No Lemon Iced Tea (20 fl oz),44.78,Perfeito para quem gosta de sabores picantes.
Diet Dr Pepper® (20 fl oz),44.67,Perfeito para quem gosta de sabores picantes.
Diet Mtn Dew® (20 fl oz),42.74,Sinta o sabor da natureza em cada mordida.
Diet Pepsi® (20 fl oz),52.5,Uma combinação perfeita de sabores e texturas.
Dr Pepper® (20 fl oz),46.29,A escolha ideal para ocasiões especiais.
G2 – Fruit Punch (20 fl oz),57.38,Para os amantes de bebidas geladas.
Mtn Dew® (20 fl oz),58.57,Uma experiência refrescante e doce.
Mtn Dew® Baja Blast™ (20 fl oz),54.17,Sinta o sabor do verão a cada gole.
Mtn Dew® Baja Blast Zero Sugar (20 fl oz),56.44,Para os amantes de bebidas geladas.
Mtn Dew® Kickstart™ Orange Citrus (20 fl oz),38.64,Sabor caseiro que aquece a alma.
Mug® Root Beer (20 fl oz),53.62,Sabores autênticos que aquecem o coração.
Pepsi® (20 fl oz),48.55,Molhos deliciosos para realçar seus pratos.
Pepsi® Wild Cherry (20 fl oz),31.25,Sabor exótico que vai te surpreender.
Pepsi® Zero Sugar (20 fl oz),34.26,Sinta o sabor da natureza em cada mordida.
Sierra Mist® (20 fl oz),43.49,Para os amantes de bebidas geladas.
Tropicana® Pink Lemonade (20 fl oz),45.2,Uma opção deliciosa e acolhedora.
 ,48.7,Uma experiência refrescante e doce.
FOUNTAIN BEVERAGES (30 OZ),35.25,Uma experiência refrescante e doce.
7-Up (30 fl oz),43.28,Sabor autêntico com ingredientes frescos.
Brisk® Mango Iced Tea (30 fl oz),55.43,Uma combinação perfeita de sabores e texturas.
Brisk® Unsweetened No Lemon Iced Tea (30 fl oz),45.27,Uma experiência refrescante e doce.
Diet Dr Pepper® (30 fl oz),42.51,Uma opção deliciosa e acolhedora.
Diet Mtn Dew® (30 fl oz),37.56,Uma experiência refrescante e doce.
Diet Pepsi® (30 fl oz),51.45,Sabores únicos que vão surpreender você.
Dr Pepper® (30 fl oz),55.07,Uma combinação perfeita de sabores e texturas.
G2 – Fruit Punch (30 fl oz),41.64,Sinta o sabor da tradição em cada mordida.
Mtn Dew® (30 fl oz),29.99,"Leve e delicioso, perfeito para compartilhar."
Mtn Dew® Baja Blast™ (30 fl oz),49.71,Uma opção deliciosa e acolhedora.
Mtn Dew® Baja Blast Zero Sugar (30 fl oz),58.49,Incrivelmente saboroso e gratificante.
Mtn Dew® Kickstart™ Orange Citrus (30 fl oz),35.21,Uma explosão de sabores em cada mordida.
Mug® Root Beer (30 fl oz),43.55,Sabor autêntico com ingredientes frescos.
Pepsi® (30 fl oz),35.97,Sabor autêntico e suculento.
Pepsi® Wild Cherry (30 fl oz),55.2,Uma combinação única de sabores e texturas.
Pepsi® Zero Sugar (30 fl oz),37.25,Uma bebida gelada e revigorante.
Sierra Mist® (30 fl oz),55.33,Sinta o sabor da natureza em cada mordida.
Tropicana® Pink Lemonade (30 fl oz),33.03,A escolha saudável para um dia agitado.
