item,price,description
Caesar Side Salad,50.37,Uma bebida gelada e revigorante.
Garden Side Salad,37.3,Uma opção saudável e equilibrada.
"Southwest Avocado Chicken Salad, Full Size",44.41,A escolha ideal para ocasiões especiais.
"Southwest Avocado Chicken Salad, Half Size",51.76,"Leve e delicioso, ótimo para compartilhar."
"Spicy Caesar Chicken Salad, Full Size",34.8,Uma opção saudável e equilibrada.
"Spicy Caesar Chicken Salad, Half Size",58.59,Para os amantes de comida caseira.
"Taco Salad, Full Size",48.91,"Leve e saboroso, perfeito a qualquer hora."
"Taco Salad, Half Size",47.79,Sabor exótico que vai te surpreender.
Apple Bites,56.11,Uma explosão de sabores em cada mordida.
Baconator Fries,54.09,Uma combinação perfeita de sabores e texturas.
Bacon Cheese Baked Potato,44.91,Para os amantes de bebidas geladas.
Cheese Baked Potato,37.98,Uma opção deliciosa e acolhedora.
Chili & Cheese Baked Potato,35.26,Uma bebida irresistível e refrescante.
"Chili, Large",52.14,O acompanhamento perfeito para qualquer refeição.
"Chili, Small",44.13,Uma opção deliciosa e acolhedora.
Chili Cheese Fries,39.62,Perfeito para quem gosta de sabores picantes.
"Natural-Cut Fries, Junior",55.94,Sabor autêntico e suculento.
"Natural-Cut Fries, Large",55.01,A escolha ideal para ocasiões especiais.
"Natural-Cut Fries, Medium",30.56,Uma opção saudável e equilibrada.
"Natural-Cut Fries, Small",40.93,Uma explosão de sabores em cada mordida.
Plain Baked Potato,36.64,Uma combinação perfeita de sabores e texturas.
Sour Cream and Chive Baked Potato,57.8,Uma explosão de sabores em cada mordida.
Summer Berry Burst Fruit Cup,39.5,Sabores autênticos que aquecem o coração.
1% Chocolate Milk,36.68,Molhos deliciosos para realçar seus pratos.
1% White Milk,31.57,Sabor autêntico e suculento.
"All-Natural Lemonade, Large",31.39,Para os amantes de café e cappuccinos.
"All-Natural Lemonade, Medium",43.4,Uma explosão de sabores em cada mordida.
"All-Natural Lemonade, Small",35.52,Uma explosão de sabores em cada mordida.
"Apple Kiwi Fruit Tea, Large",38.29,"Leve e delicioso, perfeito para compartilhar."
"Apple Kiwi Fruit Tea, Medium",52.91,Sabores autênticos que aquecem o coração.
"Apple Kiwi Fruit Tea, Small",46.17,Para os amantes de bebidas geladas.
"Barq’s Root Beer, Large",53.97,Para os amantes de café e cappuccinos.
"Barq’s Root Beer, Medium",58.0,Uma combinação perfeita de sabores e texturas.
"Barq’s Root Beer, Small",36.28,Uma experiência refrescante e doce.
"Brewed Unsweetened Iced Tea, Large",38.39,Uma combinação perfeita de sabores e texturas.
"Brewed Unsweetened Iced Tea, Medium",47.89,Sabores autênticos que aquecem o coração.
"Brewed Unsweetened Iced Tea, Small",57.58,Uma opção deliciosa e acolhedora.
"Caramel Iced Coffee, Medium",57.89,Para os amantes de bebidas geladas.
"Caramel Iced Coffee, Small",34.86,A escolha ideal para ocasiões especiais.
"Coca-Cola, Large",51.34,"Leve e saboroso, perfeito a qualquer hora."
"Coca-Cola, Medium",57.42,Sabor exótico que vai te surpreender.
"Coca-Cola, Small",31.51,Incrivelmente refrescante e saboroso.
"Coca-Cola Zero Sugar, Large",48.26,A combinação perfeita de doçura e frutas.
"Coca-Cola Zero Sugar, Medium",54.96,Uma explosão de sabores em cada mordida.
"Coca-Cola Zero Sugar, Small",34.85,Sabor caseiro que aquece a alma.
"Diet Coke, Large",35.31,Sabor exótico que vai te surpreender.
"Diet Coke, Medium",57.75,"Leve e delicioso, perfeito para compartilhar."
"Diet Coke, Small",49.17,Uma combinação perfeita de sabores e texturas.
"Dr Pepper, Large",41.64,Sabor caseiro que aquece a alma.
"Dr Pepper, Medium",56.88,A escolha saudável para um dia agitado.
"Dr Pepper, Small",47.1,Sabores tradicionais que nunca desapontam.
"Fanta Orange, Large",43.82,Uma opção deliciosa e acolhedora.
"Fanta Orange, Medium",47.41,Uma opção saudável e equilibrada.
"Fanta Orange, Small",36.86,Uma opção deliciosa e acolhedora.
"Hi-C Flashin’ Fruit Punch, Large",42.86,Sinta o sabor do verão a cada gole.
"Hi-C Flashin’ Fruit Punch, Medium",41.32,Sabores autênticos que aquecem o coração.
"Hi-C Flashin’ Fruit Punch, Small",34.22,Incrivelmente saboroso e gratificante.
"Honest Tropical Green Tea, Large",54.22,Molhos deliciosos para realçar seus pratos.
"Honest Tropical Green Tea, Medium",56.44,Molhos deliciosos para realçar seus pratos.
"Honest Tropical Green Tea, Small",43.94,Uma opção deliciosa e acolhedora.
Hot Tea,39.79,Uma combinação perfeita de sabores e texturas.
"Limeade, Large",57.16,Incrivelmente saboroso e gratificante.
"Limeade, Medium",39.03,Deliciosos molhos para realçar seu prato.
"Limeade, Small",48.46,Sinta o sabor do verão a cada gole.
"Minute Maid Light Lemonade, Large",44.21,Sabor autêntico e suculento.
"Minute Maid Light Lemonade, Medium",58.91,Molhos deliciosos para realçar seus pratos.
"Minute Maid Light Lemonade, Small",58.58,Sabor caseiro que aquece a alma.
"Mocha Iced Coffee, Medium",48.23,Uma explosão de sabores em cada mordida.
"Mocha Iced Coffee, Small",49.46,Sabor autêntico e suculento.
"Pear Berry Fruit Tea, Large",57.15,Sabor exótico que vai te surpreender.
"Pear Berry Fruit Tea, Medium",56.49,Sabor autêntico com ingredientes frescos.
"Pear Berry Fruit Tea, Small",49.78,Sinta o sabor do verão a cada gole.
"Skinny Vanilla Iced Coffee, Medium",47.22,Um clássico que nunca sai de moda.
"Skinny Vanilla Iced Coffee, Small",46.72,Uma opção saudável e equilibrada.
"Small Sprite, Small",53.89,Incrivelmente saboroso e gratificante.
"Sprite, Large",52.48,Para os apaixonados por café e lattes.
"Sprite, Medium",44.52,"Leve e delicioso, perfeito para compartilhar."
"Strawberry Lemonade, Large",30.15,"Leve e delicioso, perfeito para compartilhar."
"Strawberry Lemonade, Medium",35.08,Uma bebida gelada e revigorante.
"Strawberry Lemonade, Small",45.96,A escolha ideal para ocasiões especiais.
"Strawberry Sweet Tea, Large",36.07,Molhos deliciosos para realçar seus pratos.
"Strawberry Sweet Tea, Medium",35.48,Uma experiência refrescante e doce.
"Strawberry Sweet Tea, Small",36.95,Sabor caseiro que aquece a alma.
"Strawberry Tea, Large",30.79,Molhos deliciosos para realçar seus pratos.
"Strawberry Tea, Medium",59.25,Incrivelmente saboroso e gratificante.
"Strawberry Tea, Small",49.72,Sabor autêntico e suculento.
"Sweetened Iced Tea, Large",38.01,Para os amantes de bebidas geladas.
"Sweetened Iced Tea, Medium",31.41,O acompanhamento perfeito para qualquer refeição.
"Sweetened Iced Tea, Small",39.55,Uma combinação perfeita de sabores e texturas.
"Vanilla Iced Coffee, Medium",36.07,Sabor exótico que você vai adorar.
"Vanilla Iced Coffee, Small",32.23,Uma opção saudável e satisfatória.
"Classic Chocolate Frosty, Junior",57.22,Uma explosão de sabores em cada mordida.
"Classic Chocolate Frosty, Large",53.09,A escolha perfeita para um dia especial.
"Classic Chocolate Frosty, Medium",44.82,Sinta o sabor da tradição em cada mordida.
"Classic Chocolate Frosty, Small",50.41,Uma opção deliciosa e acolhedora.
"Vanilla Frosty, Junior",57.29,Deliciosos molhos para realçar seu prato.
"Vanilla Frosty, Large",36.5,Uma opção saudável e equilibrada.
"Vanilla Frosty, Medium",38.52,Sinta o sabor do verão a cada gole.
"Vanilla Frosty, Small",47.72,Incrivelmente saboroso e gratificante.
Chocolate Chunk Cookie,37.33,Sabores autênticos que aquecem o coração.
Double Chocolate Chunk Cookie,43.02,Molhos deliciosos para realçar seus pratos.
Sugar Cookie,39.27,Sabor autêntico que aquece o coração.
Kids 2 Piece Chicken Tenders,47.81,Uma opção saudável e equilibrada.
Kids 4 Piece Chicken Nuggets,57.99,Uma explosão de sabores em cada mordida.
Kids Cheeseburger,49.89,Uma opção saudável e equilibrada.
Kids Grilled Chicken Wrap,35.48,"Leve e delicioso, perfeito para compartilhar."
Kids Hamburger,36.22,Sabor exótico que vai te surpreender.
Artisan Egg Sandwich with Bacon,32.48,Incrivelmente saboroso e gratificante.
Artisan Egg Sandwich with Sausage,35.4,Molhos deliciosos para realçar seus pratos.
Bacon Breakfast Bowl,39.09,Uma explosão de sabores em cada mordida.
Biggie Breakfast Sandwich,47.08,"Leve e delicioso, ótimo para compartilhar."
Fresh-Baked Biscuit with Applewood Smoked Bacon,37.52,Sabores autênticos que aquecem o coração.
Fresh Baked Biscuit with Natural Sausage,47.34,Uma opção deliciosa e acolhedora.
Gravy and Sausage Bowl,58.75,Uma explosão de sabores em um só prato.
Honey Butter Chicken Biscuit,38.81,Uma opção deliciosa e reconfortante.
Sausage and Egg Burrito,50.61,"Leve e delicioso, perfeito para compartilhar."
Sausage and Gravy Biscuit,39.03,Uma experiência refrescante e doce.
Sausage Biscuit,32.42,Incrivelmente saboroso e gratificante.
Sausage Breakfast Bowl,31.43,Incrivelmente saboroso e gratificante.
"Seasoned Home-Style Potatoes, Large",52.8,Uma opção deliciosa e reconfortante.
"Seasoned Home-Style Potatoes, Medium",47.02,Uma experiência refrescante e doce.
"Seasoned Home-Style Potatoes, Small",43.1,Sabor autêntico e suculento.
Two Sausage and Egg Burritos,49.13,A escolha perfeita para um dia especial.
Two Sausage Biscuits,46.59,Uma deliciosa refeição para toda a família.
